Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Relative Humidity,Surface Albedo,Wind Speed
2010,1,1,0,30,22.3,0,0,93.35000000000001,0.15,1
2010,1,1,1,30,22.1,0,0,93.06,0.15,1.2000000000000002
2010,1,1,2,30,21.900000000000002,0,0,93.08,0.15,1.4000000000000001
2010,1,1,3,30,21.700000000000003,0,0,93.67,0.15,1.3
2010,1,1,4,30,21.6,0,0,94.25,0.15,1.2000000000000002
2010,1,1,5,30,21.5,0,0,95.34,0.15,1
2010,1,1,6,30,21.400000000000002,0,0,96.09,0.15,0.8
2010,1,1,7,30,21.3,0,0,96.53,0.15,0.7000000000000001
2010,1,1,8,30,21.700000000000003,0,0,94.09,0.15,0.9
2010,1,1,9,30,22.6,105,76,89.58,0.15,1.5
2010,1,1,10,30,23.900000000000002,199,65,79.9,0.15,2.2
2010,1,1,11,30,25.3,278,238,71.86,0.15,2.8000000000000003
2010,1,1,12,30,26.700000000000003,335,325,66.74,0.15,3
2010,1,1,13,30,27.8,397,331,63.53,0.15,3
2010,1,1,14,30,28.400000000000002,431,30,61.660000000000004,0.15,2.7
2010,1,1,15,30,28.3,156,0,61.86,0.15,2.3000000000000003
2010,1,1,16,30,27.900000000000002,249,2,62.660000000000004,0.15,1.9000000000000001
2010,1,1,17,30,27.5,152,1,64.05,0.15,1.5
2010,1,1,18,30,27.200000000000003,286,146,66.74,0.15,1.2000000000000002
2010,1,1,19,30,26.700000000000003,201,134,69.33,0.15,0.9
2010,1,1,20,30,25.700000000000003,41,1,75.02,0.15,0.7000000000000001
2010,1,1,21,30,24.5,0,0,82.37,0.15,0.7000000000000001
2010,1,1,22,30,23.700000000000003,0,0,84.86,0.15,0.8
2010,1,1,23,30,23,0,0,87.10000000000001,0.15,0.8
2010,1,2,0,30,22.400000000000002,0,0,89.11,0.15,0.8
2010,1,2,1,30,22,0,0,90.8,0.15,0.8
2010,1,2,2,30,21.700000000000003,0,0,91.87,0.15,0.7000000000000001
2010,1,2,3,30,21.400000000000002,0,0,92.79,0.15,0.7000000000000001
2010,1,2,4,30,21.1,0,0,94.11,0.15,0.7000000000000001
2010,1,2,5,30,20.8,0,0,95.53,0.15,0.8
2010,1,2,6,30,20.5,0,0,96.71000000000001,0.15,0.8
2010,1,2,7,30,20.400000000000002,0,0,96.3,0.15,0.8
2010,1,2,8,30,21.3,0,0,90.85000000000001,0.15,1.3
2010,1,2,9,30,23.400000000000002,114,25,82.34,0.15,2.1
2010,1,2,10,30,25.400000000000002,74,786,73.59,0.15,2.8000000000000003
2010,1,2,11,30,27.200000000000003,83,901,66.84,0.15,3.1
2010,1,2,12,30,28.6,445,158,61.75,0.15,3
2010,1,2,13,30,29.700000000000003,501,268,57.68,0.15,2.7
