Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,Relative Humidity,Wind Speed
2021,1,1,0,30,28.8,0,0,38.34,2.2
2021,1,1,1,30,27.700000000000003,0,0,41.53,2
2021,1,1,2,30,26.700000000000003,0,0,44.53,1.9000000000000001
2021,1,1,3,30,25.8,0,0,47.51,1.8
2021,1,1,4,30,25,0,0,50.59,1.8
2021,1,1,5,30,24.200000000000003,0,0,54.120000000000005,1.9000000000000001
2021,1,1,6,30,23.400000000000002,0,0,58.25,2
2021,1,1,7,30,22.6,0,0,63.160000000000004,2.2
2021,1,1,8,30,23.3,62,7,62.89,2.7
2021,1,1,9,30,26.200000000000003,632,47,54.35,3.1
2021,1,1,10,30,30.200000000000003,836,66,42.84,2.9000000000000004
2021,1,1,11,30,33.800000000000004,930,79,32.05,2.1
2021,1,1,12,30,36.4,978,89,24.69,1.2000000000000002
2021,1,1,13,30,38.2,1007,94,20.43,0.9
2021,1,1,14,30,39.300000000000004,1020,96,18.07,0.9
2021,1,1,15,30,40,946,130,16.61,1
2021,1,1,16,30,40.1,876,160,15.93,1.2000000000000002
2021,1,1,17,30,39.800000000000004,904,115,15.73,1.4000000000000001
2021,1,1,18,30,39,918,81,16.03,1.5
2021,1,1,19,30,37.6,814,68,17.01,1.6
2021,1,1,20,30,34.6,582,47,20.650000000000002,1.2000000000000002
2021,1,1,21,30,31.8,0,0,29.1,1
2021,1,1,22,30,30.400000000000002,0,0,30.84,1.2000000000000002
2021,1,1,23,30,29.3,0,0,32.910000000000004,1.2000000000000002
2021,1,2,0,30,28.3,0,0,35.53,1.2000000000000002
2021,1,2,1,30,27.3,0,0,38.51,1.1
2021,1,2,2,30,26.5,0,0,41.08,1.1
2021,1,2,3,30,25.900000000000002,0,0,43.13,1.1
2021,1,2,4,30,25.3,0,0,45.18,1.1
2021,1,2,5,30,24.6,0,0,47.82,1.1
2021,1,2,6,30,23.8,0,0,51.35,1.2000000000000002
2021,1,2,7,30,23.1,0,0,55.230000000000004,1.3
2021,1,2,8,30,24.200000000000003,21,4,53.56,1.8
2021,1,2,9,30,27.400000000000002,120,110,45.58,2.3000000000000003
2021,1,2,10,30,31.200000000000003,577,142,35.69,2.1
2021,1,2,11,30,34.300000000000004,891,91,28.5,1.7000000000000002
2021,1,2,12,30,36.300000000000004,943,103,24.490000000000002,1.3
2021,1,2,13,30,37.4,972,111,22.63,0.9
2021,1,2,14,30,38,472,383,21.56,0.7000000000000001
2021,1,2,15,30,38.2,482,421,20.85,0.8
2021,1,2,16,30,38.300000000000004,956,121,20.39,0.9
2021,1,2,17,30,38.2,846,118,20.18,1
2021,1,2,18,30,37.7,862,101,20.36,1.1
2021,1,2,19,30,36.6,752,82,21.27,1
2021,1,2,20,30,34.300000000000004,510,54,25.16,0.8
2021,1,2,21,30,32.1,0,0,33.39,0.8
2021,1,2,22,30,30.900000000000002,0,0,34.54,0.9
2021,1,2,23,30,29.900000000000002,0,0,36.29,0.9
2021,1,3,0,30,29.1,0,0,38.09,1
2021,1,3,1,30,28.400000000000002,0,0,40.25,1.1
2021,1,3,2,30,27.8,0,0,42.62,1.2000000000000002
2021,1,3,3,30,27.200000000000003,0,0,45.53,1.2000000000000002
2021,1,3,4,30,26.8,0,0,48.300000000000004,1.2000000000000002
2021,1,3,5,30,26.6,0,0,50.660000000000004,1.2000000000000002
2021,1,3,6,30,26.400000000000002,0,0,52.980000000000004,1.3
2021,1,3,7,30,26.1,0,0,55.84,1.5
2021,1,3,8,30,26.900000000000002,16,4,54.27,2.3000000000000003
2021,1,3,9,30,29.1,202,90,48.75,3.5
2021,1,3,10,30,31.5,707,94,43.11,3.8000000000000003
2021,1,3,11,30,33.6,825,111,38.06,3.6
2021,1,3,12,30,35.300000000000004,886,125,34.09,3.2
2021,1,3,13,30,36.6,917,134,31.04,2.8000000000000003
2021,1,3,14,30,37.4,598,340,29.05,2.5
2021,1,3,15,30,37.9,600,309,27.93,2.3000000000000003
