Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Relative Humidity,Surface Albedo,Wind Speed
2009,1,1,0,30,25,0,0,70.52,0.17,0.9
2009,1,1,1,30,24.400000000000002,0,0,72.57000000000001,0.17,0.9
2009,1,1,2,30,23.8,0,0,74.85000000000001,0.17,0.9
2009,1,1,3,30,23.1,0,0,78.01,0.17,0.9
2009,1,1,4,30,22.5,0,0,80.87,0.17,0.9
2009,1,1,5,30,22,0,0,83.52,0.17,0.9
2009,1,1,6,30,21.700000000000003,0,0,85.39,0.17,0.9
2009,1,1,7,30,21.400000000000002,0,0,87.23,0.17,0.9
2009,1,1,8,30,22.400000000000002,0,0,82.99,0.17,1.3
2009,1,1,9,30,24.700000000000003,116,31,73.06,0.17,1.8
2009,1,1,10,30,27.400000000000002,83,756,63.07,0.17,1.7000000000000002
2009,1,1,11,30,29.700000000000003,142,763,55.57,0.17,1.3
2009,1,1,12,30,31.1,282,673,52.25,0.17,0.9
2009,1,1,13,30,32.1,114,957,50.24,0.17,0.6000000000000001
2009,1,1,14,30,32.800000000000004,416,547,48.57,0.17,0.7000000000000001
2009,1,1,15,30,33.1,511,370,47.53,0.17,1
2009,1,1,16,30,33,128,930,47.38,0.17,1.2000000000000002
2009,1,1,17,30,32.7,120,894,47.67,0.17,1.4000000000000001
2009,1,1,18,30,32.1,107,831,48.81,0.17,1.4000000000000001
2009,1,1,19,30,31.200000000000003,149,525,51.620000000000005,0.17,1.2000000000000002
2009,1,1,20,30,29.3,90,260,58.800000000000004,0.17,0.9
2009,1,1,21,30,27.400000000000002,0,0,74.19,0.17,0.8
2009,1,1,22,30,26.5,0,0,74.75,0.17,0.9
2009,1,1,23,30,25.900000000000002,0,0,75.63,0.17,0.9
2009,1,2,0,30,25.5,0,0,76,0.17,0.9
2009,1,2,1,30,25.200000000000003,0,0,75.98,0.17,0.9
2009,1,2,2,30,24.8,0,0,76.33,0.17,0.8
2009,1,2,3,30,24.3,0,0,77.39,0.17,0.8
2009,1,2,4,30,23.700000000000003,0,0,79.42,0.17,0.8
2009,1,2,5,30,23.200000000000003,0,0,81.31,0.17,0.8
2009,1,2,6,30,22.700000000000003,0,0,83.10000000000001,0.17,0.8
2009,1,2,7,30,22.200000000000003,0,0,85.2,0.17,0.9
2009,1,2,8,30,23,0,0,81.82000000000001,0.17,1.2000000000000002
2009,1,2,9,30,25.400000000000002,117,55,72.35000000000001,0.17,1.4000000000000001
2009,1,2,10,30,28.1,89,731,62.26,0.17,1.1
2009,1,2,11,30,30.3,106,844,56.07,0.17,0.7000000000000001
