Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Relative Humidity,Surface Albedo,Wind Speed
2013,1,1,0,30,25.3,0,0,47.81,0.17,2.8000000000000003
2013,1,1,1,30,24.6,0,0,51.03,0.17,2.9000000000000004
2013,1,1,2,30,23.900000000000002,0,0,55.43,0.17,2.8000000000000003
2013,1,1,3,30,23.200000000000003,0,0,60.61,0.17,2.6
2013,1,1,4,30,22.6,0,0,65.52,0.17,2.5
2013,1,1,5,30,22,0,0,70.72,0.17,2.3000000000000003
2013,1,1,6,30,21.400000000000002,0,0,75.8,0.17,2.2
2013,1,1,7,30,21,0,0,79.51,0.17,2.1
2013,1,1,8,30,22,0,0,75.91,0.17,2.8000000000000003
2013,1,1,9,30,24.6,50,586,63.28,0.17,3.9000000000000004
2013,1,1,10,30,27.900000000000002,71,801,49.5,0.17,3.9000000000000004
2013,1,1,11,30,31.200000000000003,84,902,38.44,0.17,3
2013,1,1,12,30,33.800000000000004,92,957,31.66,0.17,2
2013,1,1,13,30,35.6,98,988,27.82,0.17,1.5
2013,1,1,14,30,36.800000000000004,101,1001,25.52,0.17,1.5
2013,1,1,15,30,37.5,100,1001,24.04,0.17,1.6
2013,1,1,16,30,37.6,99,983,23.6,0.17,1.8
2013,1,1,17,30,37.1,95,949,23.97,0.17,2
2013,1,1,18,30,36.2,88,885,24.78,0.17,2.1
2013,1,1,19,30,34.5,231,175,27.060000000000002,0.17,1.7000000000000002
2013,1,1,20,30,31.900000000000002,94,27,37.01,0.17,1.2000000000000002
2013,1,1,21,30,29.8,0,0,51.26,0.17,1.1
2013,1,1,22,30,29,0,0,51.050000000000004,0.17,1.3
2013,1,1,23,30,28.400000000000002,0,0,51.230000000000004,0.17,1.5
2013,1,2,0,30,27.900000000000002,0,0,52.07,0.17,1.7000000000000002
2013,1,2,1,30,27.3,0,0,53.85,0.17,2
2013,1,2,2,30,26.8,0,0,55.99,0.17,2.2
2013,1,2,3,30,26.3,0,0,57.65,0.17,2.4000000000000004
2013,1,2,4,30,25.900000000000002,0,0,58.85,0.17,2.5
2013,1,2,5,30,25.5,0,0,60.18,0.17,2.6
2013,1,2,6,30,25.1,0,0,62.410000000000004,0.17,2.5
2013,1,2,7,30,24.6,0,0,66.04,0.17,2.3000000000000003
2013,1,2,8,30,24.900000000000002,0,0,66.78,0.17,2.5
2013,1,2,9,30,26.400000000000002,101,5,61.03,0.17,3.1
2013,1,2,10,30,28.400000000000002,200,303,53.82,0.17,3
2013,1,2,11,30,30.8,186,671,45.49,0.17,2.4000000000000004
2013,1,2,12,30,33,364,299,38.85,0.17,1.7000000000000002
2013,1,2,13,30,34.7,346,434,34.22,0.17,1.4000000000000001
2013,1,2,14,30,35.9,302,552,30.93,0.17,1.4000000000000001
2013,1,2,15,30,36.300000000000004,341,539,29.37,0.17,1.4000000000000001
