Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Relative Humidity,Surface Albedo,Wind Speed
1998,1,1,0,30,27,0,0,55.660000000000004,0.15,1.7000000000000002
1998,1,1,1,30,26.400000000000002,0,0,56.94,0.15,2
1998,1,1,2,30,25.8,0,0,59.1,0.15,2.2
1998,1,1,3,30,25.200000000000003,0,0,61.17,0.15,2.2
1998,1,1,4,30,24.6,0,0,63.65,0.15,2.2
1998,1,1,5,30,24,0,0,66.3,0.15,2.1
1998,1,1,6,30,23.400000000000002,0,0,69.57000000000001,0.15,2.1
1998,1,1,7,30,22.900000000000002,0,0,72.73,0.15,2.1
1998,1,1,8,30,23.8,0,0,69.60000000000001,0.15,2.7
1998,1,1,9,30,26.3,48,601,59.410000000000004,0.15,3.4000000000000004
1998,1,1,10,30,29.400000000000002,70,808,48.04,0.15,3.5
1998,1,1,11,30,32,82,907,40.26,0.15,3
1998,1,1,12,30,33.9,91,960,36.52,0.15,2.4000000000000004
1998,1,1,13,30,35.2,481,154,34.12,0.15,1.8
1998,1,1,14,30,36.2,97,1003,31.560000000000002,0.15,1.3
1998,1,1,15,30,36.800000000000004,243,787,29.38,0.15,1.1
1998,1,1,16,30,37.1,334,1,27.89,0.15,1
1998,1,1,17,30,37,358,280,27.310000000000002,0.15,0.9
1998,1,1,18,30,36.300000000000004,79,903,27.82,0.15,0.9
1998,1,1,19,30,34.9,66,801,29.75,0.15,0.8
1998,1,1,20,30,32.6,44,579,37.18,0.15,0.6000000000000001
1998,1,1,21,30,30.6,0,0,54.6,0.15,0.5
1998,1,1,22,30,29.6,0,0,58.56,0.15,0.6000000000000001
1998,1,1,23,30,28.8,0,0,61.480000000000004,0.15,0.6000000000000001
1998,1,2,0,30,28.1,0,0,64.07000000000001,0.15,0.7000000000000001
1998,1,2,1,30,27.5,0,0,67.17,0.15,0.8
1998,1,2,2,30,26.900000000000002,0,0,69.87,0.15,0.8
1998,1,2,3,30,26.400000000000002,0,0,71.86,0.15,0.9
1998,1,2,4,30,25.900000000000002,0,0,73.89,0.15,1
1998,1,2,5,30,25.3,0,0,76.67,0.15,1
1998,1,2,6,30,24.900000000000002,0,0,78.52,0.15,1.2000000000000002
1998,1,2,7,30,24.5,0,0,79.8,0.15,1.4000000000000001
1998,1,2,8,30,25.200000000000003,0,0,75.54,0.15,2.1
1998,1,2,9,30,27.3,112,22,64.11,0.15,3
1998,1,2,10,30,30.1,246,98,51.51,0.15,3.2
1998,1,2,11,30,32.5,86,891,43.25,0.15,2.8000000000000003
1998,1,2,12,30,34.300000000000004,97,942,38.63,0.15,2.2
1998,1,2,13,30,35.5,103,971,35.44,0.15,1.6
1998,1,2,14,30,36.4,106,984,32.730000000000004,0.15,1.2000000000000002
1998,1,2,15,30,37.1,104,985,30.61,0.15,1
1998,1,2,16,30,37.4,496,282,29.32,0.15,0.9
1998,1,2,17,30,37,428,129,29.240000000000002,0.15,0.9
1998,1,2,18,30,36.1,245,410,30.21,0.15,0.9
1998,1,2,19,30,35,153,443,31.98,0.15,0.9
1998,1,2,20,30,33.300000000000004,44,571,37.54,0.15,0.7000000000000001
1998,1,2,21,30,31.700000000000003,0,0,51.58,0.15,0.5
1998,1,2,22,30,30.8,0,0,55.68,0.15,0.5
1998,1,2,23,30,30,0,0,57.95,0.15,0.6000000000000001
1998,1,3,0,30,29.200000000000003,0,0,60.35,0.16,0.7000000000000001
1998,1,3,1,30,28.400000000000002,0,0,61.44,0.16,1.1
1998,1,3,2,30,27.700000000000003,0,0,62.59,0.16,1.5
1998,1,3,3,30,26.900000000000002,0,0,65.35,0.16,1.8
1998,1,3,4,30,26.200000000000003,0,0,68.58,0.16,1.9000000000000001
1998,1,3,5,30,25.6,0,0,72.10000000000001,0.16,1.7000000000000002
1998,1,3,6,30,25,0,0,76.01,0.16,1.5
1998,1,3,7,30,24.700000000000003,0,0,78.34,0.16,1.2000000000000002
1998,1,3,8,30,25.400000000000002,0,0,75.21000000000001,0.16,1.8
1998,1,3,9,30,27.6,110,123,63.88,0.16,2.5
1998,1,3,10,30,30.200000000000003,74,780,53.26,0.16,2.4000000000000004
1998,1,3,11,30,32.6,88,886,45.6,0.16,1.9000000000000001
1998,1,3,12,30,34.7,95,946,39.71,0.16,1.4000000000000001
1998,1,3,13,30,36.4,489,161,35.06,0.16,1
1998,1,3,14,30,37.800000000000004,431,5,31.23,0.16,0.9
1998,1,3,15,30,38.6,98,999,28.57,0.16,0.9
1998,1,3,16,30,39,94,986,26.89,0.16,0.9
1998,1,3,17,30,38.800000000000004,88,957,26.36,0.16,0.9
1998,1,3,18,30,38.2,79,903,26.53,0.16,1
1998,1,3,19,30,36.9,67,798,27.88,0.16,1.1
1998,1,3,20,30,34.6,46,568,33.33,0.16,0.9
1998,1,3,21,30,32.7,0,0,48.36,0.16,0.7000000000000001
1998,1,3,22,30,31.700000000000003,0,0,51.65,0.16,0.8
1998,1,3,23,30,30.900000000000002,0,0,54.24,0.16,0.9
1998,1,4,0,30,30.1,0,0,56.89,0.16,1.1
1998,1,4,1,30,29.1,0,0,59.28,0.16,1.5
1998,1,4,2,30,28.1,0,0,61.99,0.16,1.9000000000000001
1998,1,4,3,30,27.3,0,0,65.35,0.16,2.1
1998,1,4,4,30,26.5,0,0,69.8,0.16,2.1
1998,1,4,5,30,25.8,0,0,74.04,0.16,2
1998,1,4,6,30,25.3,0,0,77.04,0.16,1.8
1998,1,4,7,30,24.900000000000002,0,0,79.3,0.16,1.8
1998,1,4,8,30,25.8,0,0,74.97,0.16,2.4000000000000004
1998,1,4,9,30,28.3,102,233,62.81,0.16,3.1
1998,1,4,10,30,31.1,76,778,50.96,0.16,3
1998,1,4,11,30,33.4,90,882,43.730000000000004,0.16,2.6
1998,1,4,12,30,35.300000000000004,445,127,38.72,0.16,1.9000000000000001
1998,1,4,13,30,36.9,101,976,34.53,0.16,1.4000000000000001
1998,1,4,14,30,38.1,102,991,30.94,0.16,1.1
1998,1,4,15,30,38.900000000000006,102,994,28.17,0.16,1.1
1998,1,4,16,30,39.300000000000004,99,980,26.27,0.16,1.1
1998,1,4,17,30,39.2,93,950,25.34,0.16,1.1
1998,1,4,18,30,38.5,83,895,25.39,0.16,1.1
1998,1,4,19,30,37.2,121,0,26.57,0.16,1.1
1998,1,4,20,30,34.9,98,9,31.59,0.16,0.9
1998,1,4,21,30,32.7,0,0,50.120000000000005,0.16,0.8
1998,1,4,22,30,31.8,0,0,51.61,0.16,1
1998,1,4,23,30,31.1,0,0,52.67,0.16,1
1998,1,5,0,30,30.6,0,0,53.79,0.16,1.2000000000000002
1998,1,5,1,30,29.8,0,0,54.07,0.16,1.4000000000000001
1998,1,5,2,30,28.6,0,0,53.5,0.16,1.7000000000000002
1998,1,5,3,30,27.200000000000003,0,0,60.57,0.16,2
1998,1,5,4,30,26,0,0,65.31,0.16,2.3000000000000003
1998,1,5,5,30,25.3,0,0,68.67,0.16,2.7
1998,1,5,6,30,24.900000000000002,0,0,70.89,0.16,2.8000000000000003
1998,1,5,7,30,24.6,0,0,72.19,0.16,2.8000000000000003
1998,1,5,8,30,25.3,0,0,69.5,0.16,3.1
1998,1,5,9,30,27.5,49,567,60.18,0.16,3.7
1998,1,5,10,30,30.400000000000002,72,788,48.38,0.16,3.7
1998,1,5,11,30,33.1,86,891,39.93,0.16,3.1
1998,1,5,12,30,35.4,96,945,34.56,0.16,2.4000000000000004
1998,1,5,13,30,37.2,101,978,30.57,0.16,1.8
1998,1,5,14,30,38.6,103,993,27.36,0.16,1.5
1998,1,5,15,30,39.300000000000004,272,649,25.34,0.16,1.4000000000000001
1998,1,5,16,30,39.400000000000006,99,980,24.28,0.16,1.5
1998,1,5,17,30,39.1,244,544,23.79,0.16,1.6
1998,1,5,18,30,38.1,87,886,24.32,0.16,1.8
1998,1,5,19,30,36.7,73,779,25.78,0.16,1.8
1998,1,5,20,30,34.5,49,550,32.09,0.16,1.4000000000000001
1998,1,5,21,30,32.6,0,0,43.27,0.16,1.2000000000000002
1998,1,5,22,30,31.700000000000003,0,0,45.04,0.16,1.1
1998,1,5,23,30,30.900000000000002,0,0,47.31,0.16,1
1998,1,6,0,30,30.400000000000002,0,0,49.800000000000004,0.16,1
1998,1,6,1,30,29.8,0,0,51.660000000000004,0.16,1.2000000000000002
1998,1,6,2,30,29.1,0,0,53.67,0.16,1.3
1998,1,6,3,30,28.400000000000002,0,0,55.32,0.16,1.5
1998,1,6,4,30,27.700000000000003,0,0,58.79,0.16,1.6
1998,1,6,5,30,27,0,0,62.92,0.16,1.7000000000000002
1998,1,6,6,30,26.5,0,0,66.52,0.16,1.6
1998,1,6,7,30,26.200000000000003,0,0,69.34,0.16,1.5
1998,1,6,8,30,26.8,0,0,68.62,0.16,2
1998,1,6,9,30,28.6,101,197,60.870000000000005,0.16,2.7
1998,1,6,10,30,30.900000000000002,75,764,51.910000000000004,0.16,3
1998,1,6,11,30,33,88,873,45.43,0.16,3
1998,1,6,12,30,34.7,99,928,40.87,0.16,2.7
1998,1,6,13,30,35.800000000000004,105,959,38.21,0.16,2.3000000000000003
1998,1,6,14,30,36.6,109,971,36.35,0.16,2
1998,1,6,15,30,37,110,969,35.12,0.16,1.8
1998,1,6,16,30,37.1,295,691,34.34,0.16,1.7000000000000002
1998,1,6,17,30,36.7,444,204,34.480000000000004,0.16,1.8
1998,1,6,18,30,35.800000000000004,92,864,35.68,0.16,1.9000000000000001
1998,1,6,19,30,34.5,165,426,38.22,0.16,1.9000000000000001
1998,1,6,20,30,32.300000000000004,101,33,46,0.16,1.6
1998,1,6,21,30,30.5,0,0,59.47,0.16,1.4000000000000001
1998,1,6,22,30,29.6,0,0,61.79,0.16,1.4000000000000001
1998,1,6,23,30,29,0,0,63.81,0.16,1.3
1998,1,7,0,30,28.5,0,0,65.71000000000001,0.16,1.2000000000000002
1998,1,7,1,30,28,0,0,67.61,0.16,1
1998,1,7,2,30,27.6,0,0,69.61,0.16,0.9
1998,1,7,3,30,27.1,0,0,72.26,0.16,1
1998,1,7,4,30,26.700000000000003,0,0,74.7,0.16,1.1
1998,1,7,5,30,26.3,0,0,77.97,0.16,1.2000000000000002
1998,1,7,6,30,26,0,0,78.73,0.16,1.2000000000000002
1998,1,7,7,30,25.6,0,0,79.74,0.16,1.4000000000000001
1998,1,7,8,30,25.5,0,0,80.27,0.16,1.8
1998,1,7,9,30,26.200000000000003,13,0,75.96000000000001,0.16,1.9000000000000001
1998,1,7,10,30,27.400000000000002,81,1,70.19,0.16,1.7000000000000002
1998,1,7,11,30,28.8,262,33,64.9,0.16,1.4000000000000001
1998,1,7,12,30,30.3,333,31,58.34,0.16,1.3
1998,1,7,13,30,31.900000000000002,450,124,52.02,0.16,1.4000000000000001
1998,1,7,14,30,33,225,638,48.03,0.16,1.5
1998,1,7,15,30,33.6,259,668,45.35,0.16,1.7000000000000002
1998,1,7,16,30,33.6,113,939,44.45,0.16,1.9000000000000001
1998,1,7,17,30,33,106,910,45.43,0.16,2.1
1998,1,7,18,30,32.300000000000004,94,853,47.13,0.16,2.2
1998,1,7,19,30,31.200000000000003,77,749,50.92,0.16,2
1998,1,7,20,30,29.400000000000002,51,523,61.18,0.16,1.4000000000000001
1998,1,7,21,30,27.8,0,0,73.79,0.16,1.2000000000000002
1998,1,7,22,30,27.200000000000003,0,0,74.76,0.16,1.5
1998,1,7,23,30,26.700000000000003,0,0,75.53,0.16,1.7000000000000002
1998,1,8,0,30,26.3,0,0,76.99,0.16,1.7000000000000002
1998,1,8,1,30,26,0,0,79.04,0.16,1.7000000000000002
1998,1,8,2,30,25.900000000000002,0,0,79.56,0.16,2.3000000000000003
1998,1,8,3,30,25.8,0,0,79.88,0.16,3
1998,1,8,4,30,25.6,0,0,81.12,0.16,3.7
1998,1,8,5,30,25.3,0,0,82.28,0.16,3.7
1998,1,8,6,30,24.8,0,0,84.34,0.16,3
1998,1,8,7,30,24.400000000000002,0,0,85.96000000000001,0.16,2.2
1998,1,8,8,30,24.6,0,0,84.78,0.16,2.2
1998,1,8,9,30,25.700000000000003,3,0,78.36,0.16,2.7
1998,1,8,10,30,27.6,20,0,67.72,0.16,3.3000000000000003
1998,1,8,11,30,29.900000000000002,278,253,55.72,0.16,3.7
1998,1,8,12,30,32.1,367,78,44.64,0.16,4
1998,1,8,13,30,33.800000000000004,288,524,38.63,0.16,4
1998,1,8,14,30,35.1,405,324,35.09,0.16,3.7
1998,1,8,15,30,35.7,454,98,33.11,0.16,3.3000000000000003
1998,1,8,16,30,35.800000000000004,456,42,32.31,0.16,2.9000000000000004
1998,1,8,17,30,35.4,214,5,32.59,0.16,2.5
1998,1,8,18,30,34.5,284,68,34.11,0.16,2.1
1998,1,8,19,30,33,182,62,38.04,0.16,1.5
1998,1,8,20,30,30.8,94,33,51.08,0.16,1
1998,1,8,21,30,29,0,0,68.75,0.16,0.9
1998,1,8,22,30,28.1,0,0,70.81,0.16,1
1998,1,8,23,30,27.3,0,0,74.19,0.16,1
1998,1,9,0,30,26.6,0,0,77.89,0.16,0.9
1998,1,9,1,30,26,0,0,81.14,0.16,0.8
1998,1,9,2,30,25.700000000000003,0,0,82.48,0.16,0.7000000000000001
1998,1,9,3,30,25.200000000000003,0,0,84.44,0.16,0.6000000000000001
1998,1,9,4,30,24.8,0,0,86.19,0.16,0.6000000000000001
1998,1,9,5,30,24.400000000000002,0,0,87.8,0.16,0.7000000000000001
1998,1,9,6,30,24,0,0,89.34,0.16,0.8
1998,1,9,7,30,23.900000000000002,0,0,89.57000000000001,0.16,0.9
1998,1,9,8,30,24.5,0,0,86.83,0.16,1.1
1998,1,9,9,30,26.3,38,1,77.5,0.16,1.3
1998,1,9,10,30,28.200000000000003,84,1,67.45,0.16,1.2000000000000002
1998,1,9,11,30,29.700000000000003,116,1,59.980000000000004,0.16,0.9
1998,1,9,12,30,30.700000000000003,130,1,55.18,0.16,0.7000000000000001
1998,1,9,13,30,31.3,122,0,52.14,0.16,0.6000000000000001
1998,1,9,14,30,31.400000000000002,111,0,51.15,0.16,0.6000000000000001
1998,1,9,15,30,31.3,101,0,51.06,0.16,0.6000000000000001
1998,1,9,16,30,30.8,99,0,52.07,0.16,0.7000000000000001
1998,1,9,17,30,30.1,100,0,54.03,0.16,0.8
1998,1,9,18,30,29.3,89,0,57.13,0.16,0.8
1998,1,9,19,30,28.3,59,0,62.01,0.16,0.7000000000000001
1998,1,9,20,30,27.1,23,0,70.73,0.16,0.6000000000000001
1998,1,9,21,30,26.1,0,0,79.14,0.16,0.6000000000000001
1998,1,9,22,30,25.5,0,0,83.57000000000001,0.16,0.6000000000000001
1998,1,9,23,30,24.900000000000002,0,0,86.18,0.16,0.6000000000000001
1998,1,10,0,30,24.5,0,0,88.03,0.16,0.6000000000000001
1998,1,10,1,30,24.1,0,0,89.91,0.16,0.5
1998,1,10,2,30,23.700000000000003,0,0,92.23,0.16,0.5
1998,1,10,3,30,23.400000000000002,0,0,93.85000000000001,0.16,0.4
1998,1,10,4,30,23.200000000000003,0,0,93.61,0.16,0.4
1998,1,10,5,30,22.900000000000002,0,0,93.93,0.16,0.4
1998,1,10,6,30,22.700000000000003,0,0,94.26,0.16,0.4
1998,1,10,7,30,22.6,0,0,94.24,0.16,0.4
1998,1,10,8,30,23.200000000000003,0,0,91.03,0.16,0.5
1998,1,10,9,30,24.8,90,27,83.08,0.16,0.7000000000000001
1998,1,10,10,30,26.8,192,213,71.35000000000001,0.16,1
1998,1,10,11,30,28.700000000000003,282,57,58.53,0.16,1.4000000000000001
1998,1,10,12,30,30.400000000000002,380,110,50.1,0.16,1.7000000000000002
1998,1,10,13,30,31.5,462,147,47.230000000000004,0.16,2
1998,1,10,14,30,32.2,472,132,45.74,0.16,2.2
1998,1,10,15,30,32.300000000000004,473,133,45.92,0.16,2.2
1998,1,10,16,30,31.8,449,166,47.67,0.16,2
1998,1,10,17,30,31,258,507,50.45,0.16,1.6
1998,1,10,18,30,30.1,246,392,54.07,0.16,1.2000000000000002
1998,1,10,19,30,29.3,203,215,58.67,0.16,0.8
1998,1,10,20,30,28.200000000000003,86,17,65.85,0.16,0.6000000000000001
1998,1,10,21,30,27,0,0,78.12,0.16,0.6000000000000001
1998,1,10,22,30,26.3,0,0,83.61,0.16,0.6000000000000001
1998,1,10,23,30,25.6,0,0,85.72,0.16,0.7000000000000001
1998,1,11,0,30,24.900000000000002,0,0,88.4,0.16,0.8
1998,1,11,1,30,24.3,0,0,91.16,0.16,0.8
1998,1,11,2,30,23.700000000000003,0,0,93.7,0.16,0.8
1998,1,11,3,30,23.3,0,0,95.16,0.16,0.8
1998,1,11,4,30,22.900000000000002,0,0,96.59,0.16,0.8
1998,1,11,5,30,22.6,0,0,97.27,0.16,1
1998,1,11,6,30,22.400000000000002,0,0,97.7,0.16,1.4000000000000001
1998,1,11,7,30,22.3,0,0,97.94,0.16,1.6
1998,1,11,8,30,22.700000000000003,0,0,95.46000000000001,0.16,1.9000000000000001
1998,1,11,9,30,23.6,40,1,91.78,0.16,2.2
1998,1,11,10,30,24.900000000000002,147,14,86.08,0.16,2.4000000000000004
1998,1,11,11,30,26.400000000000002,255,64,77.95,0.16,2.4000000000000004
1998,1,11,12,30,27.700000000000003,343,107,70.10000000000001,0.16,2.2
1998,1,11,13,30,28.6,410,93,63.870000000000005,0.16,2
1998,1,11,14,30,29.200000000000003,291,589,60.11,0.16,1.9000000000000001
1998,1,11,15,30,29.5,298,578,57.58,0.16,1.8
1998,1,11,16,30,29.6,285,580,55.94,0.16,1.6
1998,1,11,17,30,29.5,259,535,55.09,0.16,1.3
1998,1,11,18,30,29.1,212,511,55.7,0.16,1.1
1998,1,11,19,30,28.3,156,448,59.81,0.16,0.8
1998,1,11,20,30,27.200000000000003,101,45,69.07000000000001,0.16,0.5
1998,1,11,21,30,26.400000000000002,0,0,75.25,0.16,0.5
1998,1,11,22,30,25.8,0,0,75.21000000000001,0.16,0.6000000000000001
1998,1,11,23,30,25,0,0,78.55,0.16,0.7000000000000001
1998,1,12,0,30,24.3,0,0,80.45,0.16,0.8
1998,1,12,1,30,23.900000000000002,0,0,81.55,0.16,0.8
1998,1,12,2,30,23.6,0,0,81.5,0.16,0.7000000000000001
1998,1,12,3,30,23.3,0,0,81.76,0.16,0.6000000000000001
1998,1,12,4,30,22.900000000000002,0,0,82.21000000000001,0.16,0.6000000000000001
1998,1,12,5,30,22.6,0,0,83.2,0.16,0.6000000000000001
1998,1,12,6,30,22.200000000000003,0,0,85.39,0.16,0.6000000000000001
1998,1,12,7,30,21.8,0,0,88.86,0.16,0.9
1998,1,12,8,30,22.400000000000002,0,0,86.56,0.16,1.6
1998,1,12,9,30,24.200000000000003,95,83,76.4,0.16,2.4000000000000004
1998,1,12,10,30,26.200000000000003,79,738,67.15,0.16,2.6
1998,1,12,11,30,28,95,850,59.81,0.16,2.4000000000000004
1998,1,12,12,30,29.5,433,136,54.82,0.16,2.1
1998,1,12,13,30,30.5,108,951,51.61,0.16,1.8
1998,1,12,14,30,31.1,108,972,49.370000000000005,0.16,1.5
1998,1,12,15,30,31.5,105,978,47.65,0.16,1.3
1998,1,12,16,30,31.6,100,969,46.68,0.16,1.2000000000000002
1998,1,12,17,30,31.400000000000002,256,1,46.61,0.16,1.2000000000000002
1998,1,12,18,30,31,300,384,47.74,0.16,1
1998,1,12,19,30,30,152,478,52.06,0.16,0.8
1998,1,12,20,30,28.200000000000003,47,580,67.65,0.16,0.8
1998,1,12,21,30,26.900000000000002,0,0,74.15,0.16,0.8
1998,1,12,22,30,26.400000000000002,0,0,74.7,0.16,0.8
1998,1,12,23,30,26,0,0,75.59,0.16,0.8
1998,1,13,0,30,25.700000000000003,0,0,76.95,0.16,0.9
1998,1,13,1,30,25.400000000000002,0,0,78.64,0.16,1
1998,1,13,2,30,25.1,0,0,79.2,0.16,1.1
1998,1,13,3,30,24.6,0,0,80.43,0.16,1.3
1998,1,13,4,30,24.200000000000003,0,0,81.41,0.16,1.4000000000000001
1998,1,13,5,30,23.700000000000003,0,0,83.07000000000001,0.16,1.5
1998,1,13,6,30,23.200000000000003,0,0,84.73,0.16,1.6
1998,1,13,7,30,23,0,0,85.11,0.16,1.8
1998,1,13,8,30,23.8,0,0,80.8,0.16,2.5
1998,1,13,9,30,25.700000000000003,95,13,71.47,0.16,3.3000000000000003
1998,1,13,10,30,27.900000000000002,230,125,61.35,0.16,3.4000000000000004
1998,1,13,11,30,30.1,80,883,52.88,0.16,3.2
1998,1,13,12,30,32.2,86,944,46.46,0.16,2.8000000000000003
1998,1,13,13,30,33.800000000000004,90,978,42.13,0.16,2.3000000000000003
1998,1,13,14,30,34.9,90,997,39.050000000000004,0.16,1.9000000000000001
1998,1,13,15,30,35.6,87,1002,36.64,0.16,1.7000000000000002
1998,1,13,16,30,35.9,83,995,34.96,0.16,1.6
1998,1,13,17,30,35.800000000000004,77,970,34.14,0.16,1.5
