Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Relative Humidity,Surface Albedo,Wind Speed
2022,1,1,0,30,23.400000000000002,0,0,93.23,0.17,0.7000000000000001
2022,1,1,1,30,23,0,0,94.74,0.17,0.7000000000000001
2022,1,1,2,30,22.700000000000003,0,0,95.63,0.17,0.7000000000000001
2022,1,1,3,30,22.400000000000002,0,0,96.49000000000001,0.17,0.7000000000000001
2022,1,1,4,30,22.200000000000003,0,0,96.8,0.17,0.7000000000000001
2022,1,1,5,30,21.900000000000002,0,0,97.38,0.17,0.7000000000000001
2022,1,1,6,30,21.700000000000003,0,0,97.49000000000001,0.17,0.7000000000000001
2022,1,1,7,30,21.5,0,0,97.61,0.17,0.7000000000000001
2022,1,1,8,30,22,2,0,94.72,0.17,1.3
2022,1,1,9,30,23.1,81,9,91.71000000000001,0.17,2.1
2022,1,1,10,30,24.200000000000003,179,51,88.41,0.17,2.8000000000000003
2022,1,1,11,30,25.3,295,190,84.10000000000001,0.17,3.4000000000000004
2022,1,1,12,30,26.1,316,354,80.10000000000001,0.17,3.8000000000000003
2022,1,1,13,30,26.6,348,439,77.19,0.17,4
2022,1,1,14,30,26.8,302,519,75.7,0.17,4.1000000000000005
2022,1,1,15,30,26.8,406,293,74.98,0.17,3.9000000000000004
2022,1,1,16,30,26.6,442,214,75.17,0.17,3.7
2022,1,1,17,30,26.3,295,402,76.18,0.17,3.3000000000000003
2022,1,1,18,30,25.700000000000003,227,22,79.14,0.17,2.8000000000000003
2022,1,1,19,30,25,137,17,83.9,0.17,2.1
2022,1,1,20,30,24,95,50,91.04,0.17,1.5
2022,1,1,21,30,23.200000000000003,0,0,95.31,0.17,1.2000000000000002
2022,1,1,22,30,22.900000000000002,0,0,95.9,0.17,1.2000000000000002
2022,1,1,23,30,22.6,0,0,96.8,0.17,1.3
2022,1,2,0,30,22.5,0,0,96.72,0.16,1.3
2022,1,2,1,30,22.3,0,0,97.35000000000001,0.16,1.4000000000000001
2022,1,2,2,30,22.200000000000003,0,0,97.38,0.16,1.5
2022,1,2,3,30,22,0,0,98.18,0.16,1.4000000000000001
2022,1,2,4,30,21.900000000000002,0,0,98.28,0.16,1.2000000000000002
2022,1,2,5,30,21.700000000000003,0,0,98.92,0.16,1
2022,1,2,6,30,21.6,0,0,98.85000000000001,0.16,0.9
2022,1,2,7,30,21.6,0,0,98.36,0.16,0.8
2022,1,2,8,30,22,1,0,96.15,0.16,1
2022,1,2,9,30,22.8,5,0,93.84,0.16,1.5
2022,1,2,10,30,23.700000000000003,12,0,90.87,0.16,1.8
2022,1,2,11,30,24.8,19,0,86.41,0.16,1.9000000000000001
2022,1,2,12,30,25.700000000000003,84,0,82.78,0.16,1.8
2022,1,2,13,30,26.400000000000002,145,0,79.24,0.16,1.5
2022,1,2,14,30,26.700000000000003,346,8,76.97,0.16,1.4000000000000001
2022,1,2,15,30,26.6,453,64,77.07000000000001,0.16,1.3
2022,1,2,16,30,26.3,442,122,78.9,0.16,1.5
2022,1,2,17,30,25.900000000000002,257,512,81.12,0.16,1.6
2022,1,2,18,30,25.400000000000002,209,471,84.11,0.16,1.6
2022,1,2,19,30,24.8,179,260,88.16,0.16,1.3
2022,1,2,20,30,23.900000000000002,36,2,93.76,0.16,1.1
2022,1,2,21,30,23.3,0,0,95.60000000000001,0.16,0.9
2022,1,2,22,30,23,0,0,95.94,0.16,1
2022,1,2,23,30,22.900000000000002,0,0,95.69,0.16,1
2022,1,3,0,30,22.700000000000003,0,0,96.3,0.16,0.9
2022,1,3,1,30,22.5,0,0,96.99000000000001,0.16,0.8
2022,1,3,2,30,22.200000000000003,0,0,98.05,0.16,0.7000000000000001
2022,1,3,3,30,22,0,0,98.23,0.16,0.7000000000000001
2022,1,3,4,30,21.8,0,0,98.19,0.16,0.6000000000000001
2022,1,3,5,30,21.700000000000003,0,0,98.02,0.16,0.6000000000000001
