Year,Month,Day,Hour,Minute,Temperature,DNI,DHI,Relative Humidity,Wind Speed
2017,1,1,0,30,27.200000000000003,0,0,44.56,2.6
2017,1,1,1,30,26.5,0,0,48.38,2.5
2017,1,1,2,30,25.8,0,0,51.980000000000004,2.3000000000000003
2017,1,1,3,30,25.1,0,0,55.9,2.2
2017,1,1,4,30,24.6,0,0,59.11,2.3000000000000003
2017,1,1,5,30,24,0,0,62.53,2.3000000000000003
2017,1,1,6,30,23.400000000000002,0,0,66.09,2.2
2017,1,1,7,30,22.700000000000003,0,0,69.98,2.1
2017,1,1,8,30,23.400000000000002,0,0,67.89,2.7
2017,1,1,9,30,25.700000000000003,503,60,58.61,3.4000000000000004
2017,1,1,10,30,28.8,730,91,47.86,3.3000000000000003
2017,1,1,11,30,31.700000000000003,837,111,39.11,2.4000000000000004
2017,1,1,12,30,34,510,295,32.99,1.5
2017,1,1,13,30,35.7,927,136,29.19,0.9
2017,1,1,14,30,36.800000000000004,941,141,26.88,0.6000000000000001
2017,1,1,15,30,37.4,690,255,25.53,0.6000000000000001
2017,1,1,16,30,37.6,459,361,24.79,0.8
2017,1,1,17,30,37.300000000000004,361,347,24.73,0.9
2017,1,1,18,30,36.6,86,293,25.310000000000002,1.1
2017,1,1,19,30,35.4,42,172,26.8,1.1
2017,1,1,20,30,33.1,26,96,32.61,0.8
2017,1,1,21,30,31.1,0,0,48.19,0.8
2017,1,1,22,30,30.200000000000003,0,0,48.2,1
2017,1,1,23,30,29.400000000000002,0,0,47.94,1.2000000000000002
2017,1,2,0,30,28.8,0,0,48.21,1.4000000000000001
2017,1,2,1,30,28.200000000000003,0,0,49.1,1.6
2017,1,2,2,30,27.5,0,0,50.910000000000004,1.7000000000000002
2017,1,2,3,30,27,0,0,52.550000000000004,1.8
2017,1,2,4,30,26.400000000000002,0,0,54.75,1.9000000000000001
2017,1,2,5,30,25.8,0,0,57.230000000000004,2.1
2017,1,2,6,30,25.200000000000003,0,0,59.61,2.2
2017,1,2,7,30,24.6,0,0,61.75,2.3000000000000003
2017,1,2,8,30,25.1,0,0,59.99,2.8000000000000003
2017,1,2,9,30,27.200000000000003,526,56,52.92,3.3000000000000003
2017,1,2,10,30,30.1,751,85,44.65,3
2017,1,2,11,30,32.9,858,101,36.95,2.2
2017,1,2,12,30,35.2,158,455,31.560000000000002,1.4000000000000001
2017,1,2,13,30,36.7,958,114,28.23,1
2017,1,2,14,30,37.5,415,489,26.240000000000002,1.1
2017,1,2,15,30,37.800000000000004,398,502,25.13,1.4000000000000001
2017,1,2,16,30,37.800000000000004,400,465,24.71,1.8
2017,1,2,17,30,37.6,78,366,24.87,2.1
2017,1,2,18,30,36.800000000000004,35,252,25.98,2.3000000000000003
2017,1,2,19,30,35.6,9,123,27.89,2.1
2017,1,2,20,30,33.4,20,104,32.730000000000004,1.5
2017,1,2,21,30,31.5,0,0,42.82,1.1
2017,1,2,22,30,30.6,0,0,44.730000000000004,1.3
2017,1,2,23,30,29.900000000000002,0,0,46.230000000000004,1.4000000000000001
2017,1,3,0,30,29.3,0,0,47.62,1.4000000000000001
2017,1,3,1,30,28.700000000000003,0,0,48.95,1.4000000000000001
2017,1,3,2,30,27.900000000000002,0,0,51.050000000000004,1.4000000000000001
2017,1,3,3,30,27.1,0,0,53.32,1.3
2017,1,3,4,30,26.5,0,0,54.99,1.3
2017,1,3,5,30,26,0,0,56.35,1.4000000000000001
2017,1,3,6,30,25.700000000000003,0,0,57.08,1.6
