Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,Relative Humidity,Surface Albedo,Wind Speed
2000,1,1,0,30,21.900000000000002,0,0,98.43,0.15,1.9000000000000001
2000,1,1,1,30,21.6,0,0,99.4,0.15,1.6
2000,1,1,2,30,21.3,0,0,99.53,0.15,1.3
2000,1,1,3,30,21.1,0,0,99.16,0.15,1.2000000000000002
2000,1,1,4,30,21.1,0,0,98.79,0.15,1.1
2000,1,1,5,30,21.1,0,0,98.82000000000001,0.15,1.1
2000,1,1,6,30,21,0,0,98.84,0.15,1.2000000000000002
2000,1,1,7,30,21,0,0,98.18,0.15,1.3
2000,1,1,8,30,21.400000000000002,0,0,95.69,0.15,1.9000000000000001
2000,1,1,9,30,22.3,103,27,93.7,0.15,2.8000000000000003
2000,1,1,10,30,23.5,72,0,90.24,0.15,3.6
2000,1,1,11,30,24.900000000000002,235,2,84.45,0.15,4.2
2000,1,1,12,30,26.1,404,76,76.56,0.15,4.4
2000,1,1,13,30,27.1,311,470,70.48,0.15,4.4
2000,1,1,14,30,27.700000000000003,303,528,67.68,0.15,4.2
2000,1,1,15,30,28.3,310,551,65.74,0.15,4
2000,1,1,16,30,28.5,277,582,65.66,0.15,3.7
2000,1,1,17,30,28.400000000000002,274,493,66.49,0.15,3.4000000000000004
2000,1,1,18,30,27.900000000000002,18,0,69.18,0.15,2.8000000000000003
2000,1,1,19,30,26.900000000000002,181,40,75.41,0.15,2
2000,1,1,20,30,25.3,38,1,84.98,0.15,1.3
2000,1,1,21,30,24,0,0,91.53,0.15,0.9
2000,1,1,22,30,23.5,0,0,92.53,0.15,0.9
2000,1,1,23,30,23.200000000000003,0,0,92.9,0.15,0.9
2000,1,2,0,30,22.8,0,0,94.11,0.15,0.9
2000,1,2,1,30,22.6,0,0,94.55,0.15,0.9
2000,1,2,2,30,22.3,0,0,95.72,0.15,1
2000,1,2,3,30,22.1,0,0,95.95,0.15,1
2000,1,2,4,30,21.900000000000002,0,0,96.37,0.15,1.1
2000,1,2,5,30,21.6,0,0,97.17,0.15,1.2000000000000002
2000,1,2,6,30,21.400000000000002,0,0,97.26,0.15,1.2000000000000002
2000,1,2,7,30,21.200000000000003,0,0,97.35000000000001,0.15,1.2000000000000002
2000,1,2,8,30,21.700000000000003,0,0,93.87,0.15,1.6
2000,1,2,9,30,22.8,3,0,90.45,0.15,2.3000000000000003
